GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java-code-assignment,com.warehouse.api.beans,Warehouse,38,0,0,0,16,0,11,0,11,0
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.models,Location,0,12,0,0,0,5,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.models,Warehouse,0,3,0,0,0,1,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.products,ProductRepository,0,3,0,0,0,1,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.products,Product,6,3,0,0,3,1,1,1,1,1
java-code-assignment,com.fulfilment.application.monolith.products,ProductResource.ErrorMapper,48,0,4,0,11,0,4,0,2,0
java-code-assignment,com.fulfilment.application.monolith.products,ProductResource,89,30,9,1,20,7,8,4,3,4
java-code-assignment,com.fulfilment.application.monolith.location,LocationGateway,19,80,2,0,6,11,3,2,2,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouse,65,3,2,0,16,1,3,1,2,1
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,WarehouseRepository,77,3,4,0,17,1,7,1,5,1
java-code-assignment,com.fulfilment.application.monolith.stores,Store,6,3,0,0,3,1,1,1,1,1
java-code-assignment,com.fulfilment.application.monolith.stores,StoreResource,190,0,22,0,46,0,20,0,9,0
java-code-assignment,com.fulfilment.application.monolith.stores,StoreResource.ErrorMapper,48,0,4,0,11,0,4,0,2,0
java-code-assignment,com.fulfilment.application.monolith.stores,LegacyStoreManagerGateway,59,0,0,0,18,0,4,0,4,0
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.restapi,WarehouseResourceImpl,118,0,4,0,30,0,10,0,8,0
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,CreateWarehouseUseCase,0,111,2,12,0,22,2,10,0,5
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,ReplaceWarehouseUseCase,1,119,2,14,0,21,2,12,0,6
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,ArchiveWarehouseUseCase,0,27,0,4,0,8,0,4,0,2
